MSA,UnemployentRate
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",6.3
"Salinas, CA Metropolitan Statistical Area",6.4
"Ocean City, NJ Metropolitan Statistical Area",6.9
"Madera, CA Metropolitan Statistical Area",7
"Yakima, WA Metropolitan Statistical Area",7
"Yuba City, CA Metropolitan Statistical Area",7
"Fresno, CA Metropolitan Statistical Area",7.4
"Bakersfield, CA Metropolitan Statistical Area",7.9
"Hanford-Corcoran, CA Metropolitan Statistical Area",8
"Merced, CA Metropolitan Statistical Area",8.2
"Visalia-Porterville, CA Metropolitan Statistical Area",9.9
"Yuma, AZ Metropolitan Statistical Area",16.8
"El Centro, CA Metropolitan Statistical Area",20.9
