GeoFips,GeoName,LineCode,Description,2019
24300,"Grand Junction, CO (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,46719
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",2,Population (persons) 1/,1077370
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,50330
24420,"Grants Pass, OR (Metropolitan Statistical Area)",2,Population (persons) 1/,87487
24420,"Grants Pass, OR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,43554
24500,"Great Falls, MT (Metropolitan Statistical Area)",2,Population (persons) 1/,81366
24500,"Great Falls, MT (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,49803
24540,"Greeley, CO (Metropolitan Statistical Area) *",2,Population (persons) 1/,324492
24540,"Greeley, CO (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,50198
24580,"Green Bay, WI (Metropolitan Statistical Area)",2,Population (persons) 1/,322906
24580,"Green Bay, WI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,52981
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",2,Population (persons) 1/,771851
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,44859
24780,"Greenville, NC (Metropolitan Statistical Area)",2,Population (persons) 1/,180742
24780,"Greenville, NC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,43325
